latitude___n,longitude___e
27.41,86.14
29.32,69.04
28.41,85.33
36.53,71.07
28.04,84.81
8.37,93.15
34.38,73.58
27.56,85.93
27.86,85.99
27.51,85.17
36.24,71.38
27.83,86.26
27.79,85.31
22.91,96.07
36.33,70.14
28.13,85.11
27.66,86.19
27.8,85.87
29.78,81.68
24.69,93.29
30.42,79.23
26.37,93.47
28.24,86.43
27.88,84.61
28.24,86.31
28.44,87.34
22.27,93.88
27.73,85.44
27.95,85.11
24.37,94.03
27.57,86.12
27.82,85.46
27.92,85.03
37.35,72.2
28.17,93.39
25.76,90.99
28,84.89
26.16,90.03
27.76,84.72
27.76,84.74
29.45,85.59
34.87,91.13
27.69,85
36.72,70.65
26.54,96.18
36.39,70.1
37.83,72.88
28.65,77.79
37.98,73.67
30,81.83
25.77,89.92
27.66,85.74
30.44,79.25
36.85,70.1
27.53,92.92
27.69,85.54
18.99,94.61
36.64,70.88
6.94,92.37
27.68,85.72
27.79,85.65
28.28,84.82
22.98,94.29
27.62,86.04
35.91,69.92
14.03,93.67
27.55,86.04
36.4,71.28
28,85.74
28.06,85.8
36.53,70.01
37.21,71.72
22.26,94.12
27.5,85.03
27.51,85.46
28.24,85.93
36.33,70.66
28.37,70.5
22.8,92.17
36.55,70.32
28.48,82.73
37.83,72.03
27.67,85.98
27.65,86.17
37.07,72.26
30.45,77.92
24.74,94.94
28.47,85.35
36.68,68.41
29.84,80.21
35.4,70
34.8,69.39
26.4,90.25
32.2,69.35
27.5,86.21
26.54,94.98
27.71,85.61
27.4,85.72
36.47,71.14
26.06,90.78
27.47,91.26
27.85,85.63
34.77,73.34
25.84,89.86
13.2,93.24
37.5,78.07
36.99,78.16
37.31,78.33
12.06,94.67
37.62,78.01
37.37,78.79
11.95,94.89
36.57,70.93
23.78,94.01
27.67,84.99
13.25,93.17
24.7,95.24
37.43,78.37
28.49,85.87
29.47,81.63
34.87,73.99
27.41,94.06
26.75,90.5
27.61,86.14
25.18,90.77
36.76,70.54
17.21,73.75
37.28,71.5
36.97,70.85
26.63,96.57
37.29,77.24
35.82,70.66
36.66,70.55
36.74,70.06
37.12,68.53
37.86,68.49
31.15,95.42
30.45,79.17
36.66,71.48
30.47,94.4
18.96,97.21
24.4,93.69
30.5,94.32
27.64,85.08
30.34,94.01
15.81,73.9
21.35,80.11
33.96,72.25
33.7,72.64
35.57,69.34
36.1,70.55
36.8,71.34
30.04,80.7
36.41,70.88
27.47,91.08
30.62,94.81
30.59,94.46
28.57,87.58
30.74,94.99
30.74,94.57
11.7,92.3
37.33,71.64
36.65,70.99
34.67,70.27
30.19,80.51
36.85,82.14
30.17,93.69
30.16,79.37
36.47,69.86
31.19,95.59
36.23,70.05
27.98,84.64
36.46,69.66
36.1,71.38
17.81,95.71
31.32,94.76
24.63,94.81
31.88,95.27
30.56,96.35
30,96.26
26.73,86.12
34.82,72.61
27.33,88.01
23.12,97.11
27.57,86.03
17.24,95.19
36.06,70.5
13.74,92.53
37.43,68.75
27.7,85.97
35.35,71.18
31.5,76.99
36.94,70.54
25.71,89.5
35.4,70.6
36.93,71.67
27.73,86.07
28.61,86.92
17.17,73.78
18.7,84.39
36.76,71.21
37.21,71.57
29.65,95.54
36.69,71.07
35.88,69.47
25.75,89.6
13.83,92.84
24.8,95.31
27.57,85.59
35.73,78.39
28.24,87.16
36.53,71.17
27.51,86.15
30,79.65
27.61,75.68
36.7,70.56
37.57,71.36
36.28,69.82
26.23,92.8
35.83,78.21
26.19,92.79
23.22,93.55
36.76,71.04
28.21,87.74
36.74,70.75
36.55,71.36
36.84,71.87
36.01,70.37
37.43,71.4
29.8,80.55
28.58,76.26
35.67,78.83
35.31,78.97
28.08,86.28
37.92,78.81
24.64,94.57
23.9,93.95
23.25,93.72
7.6,94.44
37.05,71.58
27.65,85.03
23.09,94.36
37.01,70.98
13.2,92.5
36.57,71.16
37.38,71.81
38,78.96
37.29,71.76
36.48,70.75
26.52,91.72
23.09,94.46
24.42,94.67
36.25,70.98
28.48,69.32
37.27,72.36
7.26,92.31
7.33,92.38
21.07,94.11
29.82,80.56
27.81,85.82
30.64,69.58
10.02,93.97
36.45,71.53
22.27,93.36
36.72,71.08
36.23,71.64
35.98,70.73
27.56,86.09
27.31,85.93
31.55,86.52
28.87,76.68
27.92,86
27.6,86.05
28.79,85.11
36.8,70.82
31.49,77.05
28.57,86.32
37.85,79.21
36.38,70.02
28.62,77.18
28.57,86.27
27.23,88.65
24.26,96.29
24.86,94.16
35.74,69.75
28.95,86.28
36.7,70.4
35.81,69.9
24.75,94.4
36.42,70.57
29.67,80.42
36.15,70.51
37.49,71.94
36.01,69.23
31.6,95.44
29.58,70.06
29.27,70.44
29.49,70.36
29.55,70.05
29.53,70.07
29.66,69.75
29.6,70.23
29.62,70.24
36.25,78.15
30.13,80.33
36.84,70.29
36.58,70.11
36.22,70.57
36.36,70.04
35.4,69.54
36.56,69.86
36.44,70
35.99,69.9
36.64,70.01
36.42,69.61
36.53,69.96
36.53,69.98
35.96,70.02
36.29,70.13
36.1,69.84
36.11,70
36.39,70.07
24.56,94.94
36.69,69.91
36.42,70.05
36.72,70.61
36.07,70.12
36.21,70.64
36.48,70.14
36.59,70
36.11,69.92
36.61,70.31
24.17,93.12
35.47,70.77
24.58,92.39
36.58,68.95
36.7,70.48
25.76,92.18
36.74,70.31
36.56,70.58
32.09,69.12
32.2,68.79
28.83,76.69
20.43,73
36.83,70.24
31.7,74.32
36.56,70.36
23.64,94.42
6.35,95.02
6.61,95.2
7.12,94.52
6.95,94.36
6.34,94.9
36.32,70.1
6.57,94.81
6.93,94.61
6.43,94.25
6.94,94.41
6.34,94.76
6.23,94.84
6.66,94.67
36.77,71.09
24.61,94.53
29.82,80.66
6.73,94.51
13.54,93.49
36.47,70.13
24.72,94.73
36.34,70.36
36.51,71.7
37.15,71.74
31.98,95.15
36.61,70.18
29.73,80.72
27.68,85.6
32.68,76.36
37.32,71.53
36.11,71.47
36.98,71.27
36.59,71.68
27.92,84.78
29.61,90.02
26.42,92.97
36.42,71.59
22.39,94.38
34.97,73.89
10.69,91.49
12.55,93.84
30.62,79.68
36.6,71.46
34.94,69.72
36.26,68.64
18.62,71.49
36.28,69.82
28.8,76.87
37.46,72.17
36.17,70.27
37.97,72.75
37.87,71.14
36.58,70.08
35.7,70.07
29,77.01
29.91,95.69
24.6,95.39
26.37,93.33
36.18,70.84
27.28,97.04
24.17,86.56
36.75,71.28
12.71,93.63
34.41,82.59
9.07,93.58
29.17,81.42
25.01,90.43
26.28,93.07
25.68,94.92
37.68,71.79
26.25,90.91
36.44,71
29.25,81.52
7.65,91.46
36.35,69.76
35.67,70.64
35.54,72.83
27.2,92.91
36.51,70.62
30.23,79.59
17.38,73.64
24.94,91.57
8.19,94.04
29.84,80.37
36.46,70.12
36.66,70.62
25.02,93.38
12.35,93.63
25.33,93.18
24.8,93.48
25,93.37
27.9,92.91
36.49,70.55
36.64,70.79
36.71,70.93
27.66,85.61
35.98,69.04
37.08,71.1
36.21,70.9
36.58,71.21
32.78,91.38
29.64,88.18
36.34,70.06
36.17,71.02
36.11,70.29
24.88,92.39
11.52,92.79
36.49,69.94
36.6,69.22
37.01,70.94
37.46,72.13
26.37,93.08
24.26,94.56
27.97,85.01
35.94,70.08
36.71,71.21
36.5,70.21
26.93,92.24
36.31,70.86
36.15,70.13
36.91,71.25
36.95,70.53
29.7,88.23
37.1,69.48
13.77,93.78
29.73,88.14
36.76,71.39
27.12,75.4
36.44,70.28
28.72,76.49
29.64,84.31
29.59,84.23
23.89,93.81
26.51,93.29
32.69,75.88
13.96,93.12
27.76,85.37
36.8,70.78
36.34,70.87
25.04,94.86
31.52,86.58
32.87,76.21
27.62,85.64
36.08,70.78
36.34,71.05
25.68,91.92
36.72,71.32
36.73,71.07
27.22,89.34
30.05,70.12
30.32,79.88
26.24,93.43
6.36,94.99
36.94,70.2
31.72,69.78
37.93,73.72
36.57,70.2
7.09,92.66
30.92,78.28
36.34,70.61
36.2,78.29
28.29,84.22
8.32,91.78
32.53,95.31
24.84,72.19
36.6,70.16
35.99,71.2
27.51,85.57
13.17,94.05
11.1,94.1
36.08,68.13
26.73,95.31
29.7,69.62
33.62,81.71
35.6,70.02
24.47,92.84
30.98,68.93
36.72,71.76
24.47,92.93
20.9,94.89
29.87,82.15
22.82,93.82
9.38,93.03
37.31,71.8
36.73,69.96
25.63,91.88
25.64,91.9
35.1,72.88
22.8,94.11
36.35,84.25
36.34,70.06
10.72,91.84
36.86,69.95
26.85,89.13
27.74,84.84
26.27,92.4
10.54,94.16
27.79,85.63
30.44,97.79
34.78,78.46
36.53,71.41
25.81,73.21
36.79,70.78
36.38,70.44
30.58,93.31
36.46,71.71
25.25,92.49
26.3,96.39
36.41,71.18
24.54,96.46
36.86,71.13
24.91,93.95
35.45,71.56
27.83,88.1
36.44,70.67
36.43,70.61
36.73,70.27
36.9,70.51
24.68,93.04
26.04,90.75
32.53,76.11
27.85,85.65
36.38,70.27
23.86,94.15
24.18,94.54
27.62,86.06
36.75,70.39
25.83,90.53
36.6,71.12
26.94,75.25
34.37,69.23
36.33,70.59
36.38,70.6
36.37,69.85
36.93,70.86
27.54,85.27
36.28,71.17
36.6,69.95
36.23,70.87
29.95,80.27
36.05,70.85
36.25,70.64
26.06,90.86
27.54,86.12
36.66,71.02
24.84,94.21
37.41,71.99
23.1,94.66
23.11,94.39
23.78,94.09
23.05,93.29
24.94,92.46
35.68,69.9
36.77,71.46
36.24,70.55
28.29,87.25
36.5,71.37
25.58,91.02
12.98,92.32
24.86,92.76
28.49,87.95
10.58,93.4
36.56,69.75
36.31,70.77
9.93,93.23
24.67,96.93
32.2,95.22
32.53,94.93
27.99,85.01
37.25,71.76
10.57,91.43
28.05,85.36
35.37,81.58
37.38,72.16
35.99,70.12
36.61,70.46
22.23,94.52
37.25,72.48
29.95,88.32
36.88,71.61
30.07,79.93
30.02,79.92
23.74,94.28
28.7,92.18
26.45,92.98
25.44,91.71
36.72,70.96
28.38,85.88
26.24,92.82
23.3,70.38
11.32,91.47
11.4,91.49
30.42,69.86
32.06,94.78
27.84,84.59
36.49,70.75
36.13,71.05
24.38,94.19
24.48,94.37
36.41,68.39
24.36,72.58
27.92,85.55
27.89,85.53
23.5,70.35
36.7,71.31
36.68,70.42
26.13,90.28
26.44,88.96
36.36,71.39
25.56,91.58
17.47,73.81
32.63,95.22
17.42,73.68
17.39,73.82
17.36,73.82
22.84,94
34.96,69.06
24.91,92.11
28.83,87.52
17.48,73.92
23.92,94.55
28.48,87.54
28.15,87.87
28.28,87.36
28.46,87.46
28.49,87.47
28.29,87.56
28.44,87.7
27.68,85.11
33.16,75.61
28.69,87.69
26.5,96.82
24.85,94.57
36.12,78.06
14.95,79.32
14.94,79.4
27.9,85.51
36.7,70.9
23.31,70.26
36.31,70.97
31.13,92.43
25,93.38
36.15,70.6
36.8,70.97
36.71,71.14
36.62,70.64
36.03,70.19
27.92,94.1
27.4,92.63
30.07,80.46
36.58,71.23
